PRICELIST
Id;Kod;Nazwa;Nazwa 2;Indeks dostawcy;Waga jedn.;Rabat dostawcy;grupa rabatowa;Waluta;Cena bazowa.;Cena katalog.;Kod kreskowy
id;code;name1;name2;name3;weight;delivery_discount;delivery_discount_group;currency_name;price2;price1;barcode
1;element okucia;element okucia;element okucia;element okucia;;;;PLN;1;1;
21556;TEVR1340-100053;Naro¿e VSU/K 56+ 1S 1RS;;TEVR1340-100053;0;57,09;53;EUR;4,87;2,0897;
21558;1715 40 25 1;Wkrêt 4,1x25 do okuæ;;1715 40 25 1;0;;;PLN;;0,0262;
21560;TGMK4010-100040;Zasuwnica 3 Gr.20;;TGMK4010-100040;0;58,5;TA;EUR;4,89;2,0294;
21564;TZZS0150-100040;£¹cznik AF KK/AF GR.1 TS K25;;TZZS0150-100040;0;58,5;TI;EUR;3,54;1,4691;
21568;TZKS1020-100040;£¹cznik AF GR.1 1SB/RS;;TZKS1020-100040;0;58,5;TI;EUR;3,9;1,6185;
21570;TZKK1020-100040;£¹cznik AF KK/AF GR.2 1RS;;TZKK1020-100040;0;58,5;TI;EUR;4,16;1,7264;
21572;TKWB0010-023062;Os³onka W PCV RAL9005 - czarny;;TKWB0010-023062;0;58,5;TK;EUR;1,27;0,527;
21574;TKEB0020-023061;Os³onka EB RAL9005 - czarny;;TKEB0020-023061;0;58,5;TK;EUR;1,21;0,5022;
21576;TKEU0010-023062;Os³onka EL U RAL9005 - czarny;;TKEU0010-023062;0;58,5;TK;EUR;1,21;0,5022;
21578;TKEO0010-023062;Os³onka EL O MB RAL9005 - czarny;;TKEO0010-023062;0;58,5;TK;EUR;1,21;0,5022;
21580;TKSL0020-027062;Os³onka S Si-NEUSILBER - szampañski matowy;;TKSL0020-027062;0;58,5;TK;EUR;1,27;0,527;
21582;TKWB0010-027062;Os³onka W PCV Si-NEUSILBER - szampañski matowy;;TKWB0010-027062;0;58,5;TK;EUR;1,27;0,527;
21584;TKEB0020-027061;Os³onka EB Si-NEUSILBER - szampañski matowy;;TKEB0020-027061;0;58,5;TK;EUR;1,21;0,5022;
21586;TKEU0010-027062;Os³onka EL U Si-NEUSILBER - szampañski matowy;;TKEU0010-027062;0;58,5;TK;EUR;1,21;0,5022;
21588;TKEO0010-027062;Os³onka EL O MB Si-NEUSILBER - szampañski matowy;;TKEO0010-027062;0;57,09;TK;EUR;1,01;0,4334;
21590;TKSL0020-031062;Os³onka S Si-MITTELBRONZE - jasnobr¹zowy;;TKSL0020-031062;0;57,09;TK;EUR;1,07;0,4591;
21592;TKWB0010-031062;Os³onka W PCV Si-MITTELBRONZE - jasnobr¹zowy;;TKWB0010-031062;0;57,09;TK;EUR;1,07;0,4591;
21594;TKEB0020-031061;Os³onka EB Si-MITTELBRONZE - jasnobr¹zowy;;TKEB0020-031061;0;57,09;TK;EUR;1,01;0,4334;
21596;TKEU0010-031062;Os³onka EL U Si-MITTELBRONZE - jasnobr¹zowy;;TKEU0010-031062;0;57,09;TK;EUR;1,01;0,4334;
21598;TKEO0010-031062;Os³onka EL O MB Si-MITTELBRONZE - jasnobr¹zowy;;TKEO0010-031062;0;57,09;TK;EUR;1,01;0,4334;
21600;TKSL0020-0H0062;Os³onka S Si-ALTGOLD - stare z³oto;;TKSL0020-0H0062;0;57,09;TK;EUR;1,07;0,4591;
21602;TKWB0010-0H0062;Os³onka W PCV Si-ALTGOLD - stare z³oto;;TKWB0010-0H0062;0;57,09;TK;EUR;1,07;0,4591;
